<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMAZ,60,20191025,180000,56.5000000,56.6000000,56.3000000,56.4000000,1550
KMAZ,60,20191025,190000,56.6000000,56.6000000,56.6000000,56.6000000,30
KMAZ,60,20191028,110000,56.8000000,56.9000000,56.5000000,56.5000000,490
KMAZ,60,20191028,120000,56.5000000,56.5000000,56.4000000,56.5000000,1060
KMAZ,60,20191028,130000,56.4000000,56.4000000,54.5000000,56.1000000,7480
KMAZ,60,20191028,140000,55.8000000,56.0000000,55.8000000,56.0000000,430
KMAZ,60,20191028,150000,56.0000000,56.1000000,55.8000000,56.1000000,220
KMAZ,60,20191028,160000,56.0000000,56.1000000,56.0000000,56.0000000,570
KMAZ,60,20191028,170000,56.1000000,56.3000000,56.0000000,56.3000000,1880
KMAZ,60,20191028,180000,56.3000000,56.3000000,55.8000000,56.3000000,2360
KMAZ,60,20191028,190000,56.3000000,56.4000000,56.3000000,56.4000000,340
KMAZ,60,20191029,110000,56.4000000,56.5000000,56.1000000,56.4000000,350
KMAZ,60,20191029,120000,56.3000000,56.5000000,56.3000000,56.3000000,130
KMAZ,60,20191029,130000,56.4000000,56.5000000,56.3000000,56.5000000,750
KMAZ,60,20191029,140000,56.2000000,56.5000000,56.2000000,56.5000000,110
KMAZ,60,20191029,150000,56.5000000,56.5000000,56.1000000,56.1000000,290
KMAZ,60,20191029,160000,56.1000000,56.1000000,55.9000000,56.0000000,200
KMAZ,60,20191029,170000,56.0000000,56.4000000,55.8000000,55.8000000,1970
KMAZ,60,20191029,180000,56.1000000,56.3000000,55.8000000,55.8000000,3420
KMAZ,60,20191029,190000,56.2000000,56.3000000,56.2000000,56.2000000,520
KMAZ,60,20191030,110000,56.0000000,56.3000000,55.7000000,56.2000000,5230
KMAZ,60,20191030,120000,56.1000000,56.2000000,56.0000000,56.2000000,90
KMAZ,60,20191030,130000,56.1000000,56.3000000,56.0000000,56.1000000,1330
KMAZ,60,20191030,140000,56.1000000,56.2000000,55.8000000,55.8000000,2450
KMAZ,60,20191030,150000,55.9000000,56.0000000,55.6000000,56.0000000,1640
KMAZ,60,20191030,160000,56.0000000,56.0000000,55.8000000,55.9000000,1990
KMAZ,60,20191030,170000,55.9000000,56.0000000,55.8000000,56.0000000,750
KMAZ,60,20191030,180000,56.0000000,56.0000000,55.8000000,55.8000000,160
KMAZ,60,20191030,190000,55.8000000,55.9000000,55.7000000,55.7000000,500
KMAZ,60,20191031,110000,55.9000000,56.7000000,55.9000000,56.7000000,6920
KMAZ,60,20191031,120000,56.6000000,56.7000000,56.2000000,56.6000000,1060
KMAZ,60,20191031,130000,56.6000000,56.7000000,56.1000000,56.5000000,2860
KMAZ,60,20191031,140000,56.5000000,56.5000000,56.2000000,56.3000000,1520
KMAZ,60,20191031,150000,56.3000000,56.3000000,56.3000000,56.3000000,460
KMAZ,60,20191031,160000,56.3000000,56.3000000,56.3000000,56.3000000,690
KMAZ,60,20191031,170000,56.2000000,56.3000000,56.1000000,56.1000000,670
KMAZ,60,20191031,180000,56.4000000,56.4000000,56.2000000,56.4000000,240
KMAZ,60,20191031,190000,56.2000000,56.4000000,56.1000000,56.1000000,690
